"ID","CAT","COMPANY_NAME","EMAIL","ADDRESS","CITY","STATE","ZIPCODE","PHONE_NUMBER","FAX_NUMBER","SIC_CODE","SIC_DESCRIPTION","WEB_ADDRESS"
"230021","P","Plesser Associates","klarkin@plesser.com","444 MADISON AVE STE 3500","NEW YORK","NY","10021","2123198383","null","8999","Services NEC","crmrush.com"
"230022","A","ADVANCED PEST MANAGEMENT","freeheaven@hotmail.com","45 Foxhall ave","SCHENECTADY","NY","12345","null","null","734201","Pest Control","101BIGTITS.COM^^101TITS.COM^^9HOT.COM^^CUM-SHOT-FACIAL.COM^^CUMSHOT-FACIAL.COM^^CUMSPIRACY.COM^^DAIL"
"230023","Y","YMCA","kbirro@ymcanyc.org","21413 35th Ave","Flushing","NY","11361-1711","7182772081","7182295972","832218","Social Service & Welfare Organizations","www.ymcanyc.org"
"230024","E","E Hampton Town Rcyclng & Dspsl","jpahwul@town.east-hampton.ny.us","260 Springs Fireplace Rd","East Hampton","NY","11937-2020","6313295835","6313242199","912104","Government Offices-City, Village & Twp","Village & Twp"
"230025","M","Manatt Phelps & Phillips","vhembree@manatt.com","121 State St","Albany","NY","12207-1633","6508121300","5184325990","811103","Attorneys","www.manatt.com"
"230026","H","Hillside Children's Ctr","hcf@hillside.com","18 Hogan Rd","Fairport","NY","14450-9523","5854250734","5854251050","806301","Mental Health Services","www.hillside.com"
"230027","M","Merry Maids","Morris.Anderson@merrymaids.com","149 Grand St","White Plains","NY","10601-4805","9144223252","9144223200","734922","House Cleaning","NULL"
"230028","M","Megalo Media;  Inc.","jnewgate@litimes.com","PO Box 1503","NEW YORK","NY","10020","2125551212","null","7319","Media services","SEXHALLOFFAME.COM^^SEXHALLOFFAME.NET"
"230029","T","Tardis Systems Inc","raytrace@thebyteboard.com","2925 Brighton Fifth Street","BROOKLYN","NY","11234","7188913251","null","8999","Services NEC","CUTEGEEKGUYS.COM^^CUTEGEEKGUYS.NET^^PAIDTECH.COM"
"230030","P","Penfield Town Offices","ely@penfield.org","3100 Atlantic Ave","Penfield","NY","14526-9722","5853408667","5853778600","912104","Government Offices-City, Village & Twp","www.penfield.org"
"230031","U","USA Body","Mac RaeB@usabody.com","994 Middle Lake Rd","De Ruyter","NY","13052-1244","3158529514","3158526123","371303","Truck Bodies-Manufacturers","NULL"
"230032","I","Interactive Marketing","sales@intmktgsolutions.com","233 W Route 59","Nanuet","NY","10954-2218","8453481155","8453481155","874213","Marketing Programs & Services","www.intmktgsolutions.com"
"230033","M","Monaco Government Tourist Office","mgto@monacol.org","23rd Fl 565 Fifth Ave","New York","NY","10017","null","null","799963","Sightseeing Tours","null"
"230034","D","Dove Graphics and Printing","mrmarc@optonline.net","3663 Route 112","COPIAGUE","NY","11726","6316421141","null","733602","Commercial Art/graphic Design","MERMACCONSULTING.COM"
"230035","M","Mesa","bridgetparris@yahoo.com","75 Gold Street  Brooklyn","LONG ISLAND CITY","NY","11120","7188589732","null","7389","Business Services NEC","bridgetparris.com"
"230036","O","ODDMANOUT","aandmgifts1@gateway.net","76 Watson","BUFFALO","NY","14205","7198967943","null","7389","Business Services NEC","AANDMGIFTS.COM"
"230037","p","paxdesigns","pax@paxdesigns.com","1135 East 105th Street","BROOKLYN","NY","11236","9177231466","null","8999","Services NEC","astraldragons.org"
"230038","E","Emigrant Savings Bank","mortgages@emigrant.com","2526 Grand Concourse","Bronx","NY","10458-4902","7183755630","7183292050","602101","Banks","www.emigrant.com"
"230039","2","20/20 Hotel Services","scotti@capital.net","23 Lake Flower Avenue","SARANAC","NY","12981","5183597513","null","701101","Hotels & Motels","bluejaycampsite.com"
"230040","W","Worldwide Capital Mortgage","spetro161@aol.com","161 Country Vlg Ln","East Islip","NY","11730","6315815355","null","616201","Real Estate Loans","null"
"230041","P","POPULATION COMMUNICATION INTERNATIONAL","zdimitrioski@population.org","263 West 38th Street","NEW YORK","NY","10016","2126873366","null","489903","Communications","GLOBALINTERSECTIONS.INFO;PCIUSA.INFO;PRIMETIMESUMMIT.INFO"
"230042","W","Wilder Richman Management Corp","steven@wilderrichman.com","570 Taxter Road","DOBBS FERRY","NY","10522","9145922400","9145922400","874198","Fuel Management","WRMCORP.COM"
"230043","E","ERA/Concept Realty","sramphal@mlslirealtor.com","5720 Old Sunrise Hwy","Massapequa","NY","11758","5167984204","null","6531","Real Estate","null"
"230044","K","Kimka Inc.","kimka@valueweb.net","9832NHaydenRdSte213","COEYMANS","NY","12045","5187569853","5187563153","9999","Unclassified","kimka.com"
"230045","T","Taco Bell","webmaster@tacobell.com","329 Main St","New Rochelle","NY","10801-5714","2053396640","9145760534","581208","Restaurants","www.tacobell.com"
"230046","D","Donovan Lighting","mark@winskiassociates.com","247 Middaugh Rd","Brooktondale","NY","14817-9756","6072563640","6072563640","506319","Lighting Fixtures-Wholesale","www.donovanlighting.com"
"230047","C","Coldwell Banker Custom Real Es","betmurray4@aol.com","4636 Merrick Rd","Massapequa","NY","11758","5167953663","null","6531","Real Estate","null"
"230048","H","Hope Lutheran Church","egrzymala@erols.com","46 Dare Rd","Selden","NY","11784-2004","6317328369","6317322511","866107","Churches","www.hopeluth.com"
"230049","C","Creative Concepts","Hill-J Edward@creaconcepts.com","790 Butternut St","Syracuse","NY","13208-2798","3154725494","3154725489","275998","Commercial Printing Nec","NULL"
"230050","C","Capital Dist Library Council","d.conroy@nyssbdc.org","28 Essex St","Albany","NY","12206-2029","5184382872","5184382500","839998","Non-Profit Organizations","www.cdlc.org"
"230051","I","Irwin Siegel Agency Inc","siegel@siegelagency.com","25 Lake Louise Marie Rd","Rock Hill","NY","12775-6639","7035357860","8457963400","641112","Insurance","www.ancor.org"
"230052","E","Episcopal Diocese Of Albany","padreflc@aol.com","68 S Swan St","Albany","NY","12210-2301","5184361182","5184651342","866107","Churches","www.albanyepiscopaldiocese.org"
"230053","S","Seaton Enterprise Co","se10info@seatonenterprise.com","608 Provost Ave","Bellport","NY","11713-1657","6312861569","6312861569","078204","Landscape Contractors","www.seatonenterprise.com"
"230054","R","R. Brooks Associates; Inc","desmith@rbrooks.com","6546 Pound Road","WILLARD","NY","14588","3155894000","3155894089","8999","Services NEC","RBROOKS.COM"
"230055","N","NORTH SHORE ROOFING CO; INC","matt_fox@ixnet.com","211-54 45th Road","BAYSIDE","NY","11360","7182291774","7184283302","152205","Builders Service","NSROOFING.COM"
"230056","P","Philip Payne Jr","root@philzplace.com","null","POMONA","NY","10970","null","null","8999","Services NEC","PHATCREATIONS.COM^^PHATCREATIONS.NET^^PHATDESIGNS.NET^^PHILZPLACE.COM"
"230057","B","Berger; Ralph","rsbbrs@aol.com","1755 Mahan Ave","BRONX","NY","10461","null","null","8999","Services NEC","SAPPHIRERECORDS.COM^^THERESUMEGROUP.COM"
"230058","E","Exudemedia networks; inc","sfokas@pcfokas.com","140 East 46th Street Suite 10P","HAUPPAUGE","NY","11431","7187899490","7182061930","731304","Media Brokers","AVIATIONMGMT.COM^^TRAVELERTIPS.COM"
"230059","R","RealtyUSA/Wolfer Division","hbyer@realtyusa.com","560 Main Street","Arcade","NY","14009","5854965230","null","6531","Real Estate","null"
"230060","T","Tribeca School","jenepel@rcn.com","400 Chambers St. #4G","NEW YORK","NY","10282","2127849356","2127849356","8211","Schools","tribecaschool.org"
"230061","S","Standard Motor Products","webmaster@smpcorp.com","37-18 Northern Blvd","Long Island City","NY","11101","null","7187294549","753804","Automobile Motor Rebuilding","http://www.smpcorp.com"
"230062","A","A Private Selection; LLC","ladysal@prodigy.net","470 Lenox Terrace Apts. Suite 2-D","NEW YORK","NY","10036","2129260995","2122343496","9999","UNCLASSIFIED","APRIVATESELECTION.COM"
"230063","I","Infoserve Technologies Corp","info@chaosny.com","7937 Cooper Ave","Flushing","NY","11385-7529","7183260159","7183268888","357101","Computers-Electronic-Manufacturers","www.infoserveusa.com"
"230064","F","Fox Toyota","Bill.Fox@foxfamily.com","188 Grant Ave","Auburn","NY","13021-1502","3152583981","3152537341","551105","Truck-Dealers","NULL"
"230065","H","Houlihan Lawrence Inc.","melvinmoorehouse@aol.com","550 Gramatan Ave","Mount Vernon","NY","10552","9146991471","-","522310","BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY, AND MOBILE HOME DEALERS","NAMB"
"230066","W","WESTWOODJAMAICA","donnamarie_lynch@yahoo.com","423 A FIRST STREET","BROOKLYN","NY","11215","7187883930","null","738999","Business Services Nec","WESTWOODJAMAICA.COM"
"230067","S","Skynet Electronics","jackliu@mindspring.com","P.O. box 52-7564","FLUSHING","NY","11351","7182293269","null","737902","Computer Related Services Special Warehouse/storage","FIRSTRADE.ORG^^FIRSTTRADE.NET^^FIRSTTRADE.ORG"
"230068","P","Power Personnel","judym@work4power.com","309 N Tioga St","Ithaca","NY","14850-4239","6072775595","6072772500","736103","Employment Agencies & Opportunities","www.work4power.com"
"230069","B","Brentwood High School","gmtalley@bufsd.org","5th Ave","Brentwood","NY","11717 0000","6314342206","6314342204","821103","Schools","www.brentwood.k12.ny.us"
"230070","Q","Queens Ledger Newspaper Group","lookd@webramp.net","PO Box 780376","Flushing","NY","11378-0376","NULL","7186397000","271103","Printers-Newspapers","NULL"
"230071","I","Imperial Oriental Art Ltd","imperial@interport.net","790 Madison Avenue","NEW YORK","NY","10020","2127175383","2122490333","841210","Art","IMPERIALORIENTAL.COM"
"230072","F","First Response Training Services","tdthompson33@aol.com","707 Solomon Ave - Clifton Park","CLIFTON PARK","NY","12065","5184989995","null","8999","Services NEC","firstresponsetrainingservices.com"
"230073","O","Office Software Developers","rudy@officeplugins.com","218E112thStreet#3112thStreet","NEW YORK","NY","10028","2127229326","null","573401","Computer Software","RUDYVISION.COM"
"230074","M","Medical Database Comms Inc","info@mdcomm.com","245 5th Ave # 601","New York","NY","10016-8728","2126793337","2126793336","731101","Advertising-Agencies & Counselors","www.mdcomm.com"
"230075","V","Visionary Media","wsnyder@bluehypermedia.com","1486 Second Avenue #2","NEW YORK","NY","10010","2129253462","2129253597","731304","Media Brokers","APHEXSITE.COM"
"230076","R","RSL","info@promotionlink.com","15 W 26th St # 12","New York","NY","10010-1023","2124810423","2124816800","733101","Mailing & Shipping Services","www.promotionlink.com"
"230077","P","PMI INC","giblin@panix.com","null","NEW YORK","NY","10168","2129669835","2063746227","701101","Hotels & Motels","PENNOYER.NET^^PENNOYERCAPITAL.COM"
"230078","P","Pentamedia Asso. Inc","jon@tcsh.org","190 blydenburgh rd","New York","NY","10018","2123139880","2123139890","731304","Media Brokers","MPACCESS.COM^^MPACCESS.NET"
"230079","E","E-Media Publishing","jake@e-mediapublishing.com","115 Maple Avenue","NORTHPORT","NY","11768","5162618721","5162617734","273198","Books","EMEDIAPUBLISHING.COM;SELLCONCEPT.COM"
"230080","R","Robert A Sweeney Agency Inc","insurance@rasweeney.com","282 Canisteo St","Hornell","NY","14843-1893","6073241490","6073245700","641104","Insurance Consultants & Advisors","www.rasweeney.com"
"230081","N","Not Listed","artisticwdesigns@aol.com","98-11 65th Ave #4B","ELMHURST","NY","11373","3096634903","null","8999","Services NEC","kennethljordan.com"
"230082","P","Prudential Douglas Elliman RE","enajarro@mlslirealtor.com","2222C Route 112","Medford","NY","11763","6317582552","null","6531","Real Estate","sliceoflongisland.com"
"230083","L","Lewis Brisbois","loo@lbbslaw.com","100 Wall St","New York","NY","10005-3701","4153622580","2122321300","811103","Attorneys","www.lbbslaw.com"
"230084","N","Nationwide Realty Pros Inc","nick@nationwiderealtypros.com","90 13th Ave Unit 2A","Ronkonkoma","NY","11779","6319819300","null","6531","Real Estate","nationwiderealtypros.com"
"230085","M","MacCrate Assoc","jmaccrate@aol.com","PO Box 399","Glen Head","NY","11545","5169226059","null","6531","Real Estate","null"
"230086","P","Pine Tree Farms","info@infinisol.org","3714 Cayuga St","Interlaken","NY","14847-9607","6075324311","6073873656","599955","Birds","www.pinetreefarmsinc.com"
"230087","E","Environmental Health","daniel.huntington@niagaracounty.com","5467 Upper Mountain Rd","Lockport","NY","14094-1895","7164397444","7164397444","951103","County Government-Environmental Programs","www.niagaracounty.com"
"230088","P","Pamela Hennebeul","dhons@mktginc.com","30 Stoothoff Road","EAST ISLIP","NY","11730","5162777000","5162777033","7389","Business Services NEC","ALLOPINIONSCOUNT.COM^^INTERACTIVEPOLLS.COM^^ITPAYSTOANSWER.COM^^MEDPOLL.COM^^MEGASAMPLE.COM^^MERCHAN"
"230089","H","Hudson Valley Real Estate Inc.","mrealestate@aol.com","6 Gramatan Ave Ste 408","Mount Vernon","NY","10550","9146992933","null","6531","Real Estate","null"
"230090","I","Insight Group","Mark@insightgroup.com","3 Fallsview Ln","Brewster","NY","10509-2231","8452774579","8452774577","999977","Nonclassified Establishments","NULL"
"230091","D","Don Jagoda Associates; Inc","cbragas@netprofits.dja.com","100 Marcus Drive","HUNTINGTON STATION","NY","11746","5164541800","null","8999","Services NEC","WORLDNETNOW.COM"
"230092","R","Realty Usa","ndiianni@aol.com","20 Aviation Rd Ste 2","Albany","NY","12205-1130","5184587000","null","6531","Real Estate","null"
"230093","S","Sperry Mitchell & Co","jpressman@sperrymitchell.com","595 Madison Ave # 30","New York","NY","10022-1647","2127530757","2128326628","628203","Financial Advisory Services","www.sperrymitchell.com"
"230094","m","mike percy - the design department","lauer222@cs.com","1807 Elmwood Ave Suite 300","BUFFALO","NY","14206","7168965588","7168965050","7389","Business Services NEC","null"
"230095","F","Finlay Fine Jewelry Corporation","jgiantomenico@fnly.com","529 Fifth Avenue","NEW YORK","NY","10016","2128082836","null","594409","Jewelers","FINEJEWELEREXCHANGE.COM"
"230096","J","J.A.P GRAPHICS","info@pioneerjanitorialsupplies.com","591 East 165th St. - Ste. 3-D","BRONX","NY","10456","71858320537185838477","7185838593","733610","Slides Computer Graphics Etc","pioneerjanitorialsupplies.com"
"230097","O","Outback Service","suzy@kitykity.com","44 Paul Rd","Rochester","NY","14624-5139","3039326394","5853285240","753812","Truck-Repairing & Service","www.outback.com"
"230098","E","Estes Express Lines","ltl@estes-express.com","4425 River Rd","Tonawanda","NY","14150-6509","7065493680","7164470584","421309","Trucking-Motor Freight","www.estes-express.com"
"230099","R","Realty USA","dtrinkala@realtyusa.com","1202 Troy Schdy Rd-Bldg 2; Resale Division","Latham","NY","12110","5187861144","null","6531","Real Estate","null"
"230100","C","Cafe au lait","davie55@aol.com","981 first ave","NEW YORK","NY","10021","2123983802","null","573407","Computer & Equipment Dealers","123ESCORT.COM^^123ESCORT.NET^^123ESCORTS.COM^^123ESCORTS.NET^^123PORN.NET^^123XXX.NET^^1800-DATE.COM"
"230101","O","Orkestra Group","bronte4@optonline.com","PO Box 93","WACCABUC","NY","10597","9147636391","9147633940","8999","Services NEC","ORKESTRAGROUP.COM"
"230102","R","REAL TIME PRODUCTIONS","shakagirl@aol.com","PO Box 17","NEW YORK","NY","10011","9176031921","null","738999","Business Services Nec","REALTIMECURES.COM^^REALTIMECURES.ORG"
"230103","C","Century 21","dpaley@laffey.com","191 Hillside Ave","Williston Park","NY","11596-1718","7183436202","5167413070","653118","Real Estate","www.laffey.net"
"230104","H","Hough & Guidice Rlty Assoc Inc","aguidice@mlslirealtor.com","200 Middle Country Rd","Middle Island","NY","11953","6313455600","null","6531","Real Estate","hgsold.com"
"230105","N","New York Foundling Hospital","mels@nyfoundling.org","590 Avenue Of The Americas","New York","NY","10011-2097","7185898140","2126339300","806202","Hospitals","www.nyfoundling.org"
"230106","M","MedCost Management","mcmanage@aol.com","633 flanders dr","VALLEY STREAM","NY","11580","5167911029","5167911029","8999","Services NEC","MEDCOSTMANAGEMENT.COM"
"230107","P","PZ Barsky","pzbarsky@acm.org","456 Carlton Ave  3rd Floor","BROOKLYN","NY","11238","7183987322","null","175299","Floor Laying Contractor","PZBARSKY.COM"
"230108","F","Fat City Studios","mackfuller@hotmail.com","311 Washington Avenue D-3","BROOKLYN","NY","11205","7188570036","null","738991","Plants","MECCALIFE.COM"
"230109","N","New York Institute of Technology","stan@nyit.edu","300 Carleton Ave. B66R217","CENTERPORT","NY","11721","6313483317","6313483399","8999","Services NEC","NYITEEZ.ORG"
"230110","H","Homes Access Inc","bjava123@aol.com","11117 Liberty Ave","South Richmond Hill","NY","11419","null","null","738999","Business Services Nec","null"
"230111","N","NS Bienstock","jmait@earthlink.net","1740 Broadway  24th Floor","NEW YORK","NY","10018","2127653040","null","271101","Newspapers (Publishers)","NSBNEWS.COM"
"230112","C","C Town Supermarket","webmaster@alpha1marketing.com","1080 W Beech St","E Atlantic Beach","NY","11561-1141","7182848106","5164319383","541105","Grocers-Retail","www.ctownsupermarkets.com"
"230113","W","Wagner & Kelly Inc","mtohinwkelly@yahoo.com","6001 Roosevelt Ave","Woodside","NY","11377","7184294457","null","6531","Real Estate","null"
"230114","M","Marvin Bzura Inc","bz1@aol.com","524 Maple Drive West","MANHASSET","NY","11030","5163541259","5163279093","7319","Media services","RICHSTREAMINGMEDIA.COM^^SENDAMEETING.COM^^SENDAPRESENTATION.COM^^SENDASHOW.COM"
"230115","B","Basil Ford","Basil_Charles@basilford.com","1540 Walden Ave","Buffalo","NY","14225-4997","7168973673","7168931000","551102","Automobile Dealers-New Cars","NULL"
"230116","Z","Zinsner''sRealEstate","glmmortgage@cyburban.com","38SRidgeSt","Port Chester","NY","10573","9146860141","9146860178","653118","Real Estate","cyburban.com"
"230117","B","Baker Roofing","William@bakerroofing.com","43 N Lawn Ave","Elmsford","NY","10523-2623","NULL","9145927229","176109","Roofing Contractors","NULL"
"230118","C","Christopher Cook","jettyout1@hotmail.com","2 Snyder Road","WEST LEBANON","NY","12195","5186745519","null","5719","Glass & mirrors","splinterglass.com"
"230119","R","Rockland County District Atty","minns@co.rockland.ny.us","1 S Main St","New City","NY","10956-3539","8456385298","8456385001","922203","County Government-Legal Counsel","www.co.rockland.ny.us"
"230120","I","Irr Supply Ctr Inc","noc@easynet.net","5635 Transit Rd","Depew","NY","14043-3244","7166840818","7166845800","507510","Heating Equipment & Systems (Wholesale)","www.irr.net"
"230121","U","US Post Office","michael.r.miles@usps.gov","23 Genesee St","Hornell","NY","14843-9998","2567284493","6073242622","431101","Post Offices","www.usps.com"
"230122","T","Talavara","modonnell@talavara.com","150 Lucius Gordon Dr","WEST BLOOMFIELD","NY","14585","7164278180","null","809907","Health Services","MYBENEFITSCONSULTANT.COM^^MYHEALTHPLANADVISOR.COM"
"230123","G","Globe Institute Of Technology","coachnunez@globe.edu","291 Broadway # 2","New York","NY","10007-1886","2123494330","2123494330","824301","Computer Training","www.globe.edu"
"230124","I","International Creative Mgmt","Jeffrey@icmmusic.com","40 W 57th St","New York","NY","10019-4001","2125565665","2125565600","792211","Theatrical Managers & Producers","NULL"
"230125","F","Fishkill Health center","tempi@bestweb.net","22 Robert R Kasin Way","BARRYTOWN","NY","12507","8458318704","8458311124","805102","Health Care Facilities","FISHKILLHEALTH.COM"
"230126","M","M J Peterson Corp","kathleen.ashburn@verizon.net","3859 N Buffalo St","Orchard Park","NY","14127-1839","7164338880","7166672800","653118","Real Estate","www.mjpeterson.com"
"230127","W","Wendy Lehman Studio","sap26@concentric.net","131 E 66th Street","NEW YORK","NY","10020","2127741978","null","738991","Plants","sgfxstudio.com"
"230128","P","Paramount Transportation Inc","gorlc1@hotmail.com","10 Apollo Dr","Albany","NY","12205-4604","7653584176","5182181424","421304","Trucking","www.gorlc.com"
"230129","J","Jimmy Jambones Inc","jambone@rochesterrr.com","448YorkRd.","BRANCHPORT","NY","14418","7168652877","null","9999","Unclassified","JIMMYJAMBONES.NET^^JIMMYJAMBONES.ORG"
"230130","R","Randy Strauss","getfishin@aol.com","5056 Rockledge Dr - Clarence","CLARENCE","NY","14031","7167596780","null","8999","Services NEC","VENTUREQUESTMANAGEMENT.COM^^VENTUREQUESTMANAGEMENT.NET^^VQMA.COM"
"230131","O","Om Radha Krishna Corp.","bpope@aabservicesinc.com","13 Lynwood Drive","WESTBURY","NY","11590","5167391919","5167391935","594716","Party Supplies","AABINC.NET^^AABINC.ORG^^AABSERVICES.NET^^AABSERVICESINC.COM"
"230132","S","Swain Ski & Snowboard Ctr","marketing@swain.com","2275 County Road 24","Swain","NY","14884-9717","5856578034","6075456511","701110","Skiing Centers & Resorts","www.swain.com"
"230133","N","Newsday","hwnewman@yahoo.com","95-25 Queens Blvd","ELMHURST","NY","11747","null","null","731304","Media Brokers","null"
"230134","R","Rent a PC","cfetner@mlslirealtor.com","3535 Lawson Blvd","WHITE PLAINS","NY","11788","6312732121","null","701101","Hotels & Motels","null"
"230135","A","Albany Avenue Elementary Schl","dpupke@lindenhurstschools.org","180 Albany Ave","Lindenhurst","NY","11757-3200","6312266500","6312266400","821103","Schools","www.lindenhurstschools.org"
"230136","O","Otselic Valley Central School","ssmith@btboces.stier.org","PO Box 161 125 County Rd 13A","SOUTH BUTLER","NY","13154","6077633674","6077633204","824401","Schools","OVCS.ORG"
"230137","S","Space Tonic","karlheitz@compuserve.com","260 Madison Avenue","TROY","NY","11375","7185650004","null","731304","Media Brokers","KARLHEITZ.COM"
"230138","R","Ries Electrical Construction","info@rieselectricconstruction.com","23 Lakewood Drive","Buffalo","NY","14206","7166748831","null","173101","Electric Contractors","rieselectricconstruction.com"
"230139","G","George M Taylor & Son Inc","jgreiner@gmtayloroil.com","28 Tinker Town Rd","Dover Plains","NY","12522-6013","8458555377","8458779343","517206","Oils-Fuel (Wholesale)","www.gmtayloroil.com"
"230140","C","Cayuga County Homsite Dev Corp","rosemarie@homsite.org","60 Clark St","Auburn","NY","13021-3387","3152556114","3152538451","839998","Non-Profit Organizations","www.homsite.org"
"230141","L","Link Share Corp","vterry@linkshare.com","215 Park Ave S","New York","NY","10003-1603","6466546000","6466546000","999977","Nonclassified Establishments","www.linkshareuk.com"
"230142","L","Leah Kalotay graphic design","miralb@earthlink.net","448 East 20th Street #11B","NEW YORK","NY","10008","2129959751","null","733610","Slides Computer Graphics Etc","MIXEDMEDIAINK.COM"
"230143","H","Harlan A Freilicher REALTOR","freilicher@nysbar.com","60 Abbott Dr","Huntington","NY","11743","6318480724","null","6531","Real Estate","freilicher.net"
"230144","U","United Precious Metals","love@unitedpmr.com","2781 Town Line Rd","Alden","NY","14004-9676","7166835433","7166838334","391507","Jewelers Supplies-Manufacturers","www.unitedpmr.com"
"230145","B","Babbage''s Etc","orders@gamestop.com","4545 Transit Rd","Buffalo","NY","14221-6012","2059854396","7166260466","573112","Video Games","www.gamestop.com"
"230146","S","Stafford Associates Inc","info@staffassoc.com","24 Hub Rd","East Setauket","NY","11733-1703","6317516895","6317516620","737904","Computers-Networking","www.staffordnet.com"
"230147","C","Coldwell Banker Prime Prop","tjhjr1963@aol.com","73 Troy Rd","East Greenbush","NY","12061","5183747755","null","6531","Real Estate","null"
"230148","I","Intersource Management Group","rene.sheridan@jerico.com","636 Plank Rd","Clifton Park","NY","12065-2042","5183831658","5183831692","509908","Manufacturers-Agents & Representatives","www.jerico.com"
"230149","N","North Country Assn-Visually","info@ncavi.org","301 Main St","Lake Placid","NY","12946-3351","5185231950","5185231950","832218","Social Service & Welfare Organizations","www.ncavi.org"
"230150","H","Heller Consulting Group","drheller@mindspring.com","9ElyiseRoad","MONSEY","NY","10952","8456399345","null","871111","Engineers","successionplans.net"
"230151","A","Andrew A. Peterson","andypeterson@rcn.com","7 Kings Way","PATTERSON","NY","12563","8458783235","null","7319","Media services","ROUNDBALLINC.COM^^ROUNDBALLMEDIA.COM^^ROUNDBALLPRESS.COM^^ROUNDBALLVIDEO.COM"
"230152","M","MichaelKriegal","webmaster@deepsapphire.net","5 Elchester Drive","EAST ISLIP","NY","11730","6315551212","null","737505","Online Services","null"
"230153","S","Steinbach Fine Art","dbtrom@aol.com","PO Box 235","PLAINVILLE","NY","13137","3156773950","3156773950","841210","Art","RUNNINGART.COM"
